year,title,count
1982,Forced Vengeance,1
1941,You'll Never Get Rich,1
2004,De-Lovely,1
1982,Honkytonk Man,1
1972,Greaser's Palace,1
2005,Dust to Glory,1
1979,Butch and Sundance: The Early Days,1
1998,The Land Girls,1
1961,The Innocents,1
1964,Zulu,1
1983,A Christmas Story,1
1996,Looking for Richard,1
2004,My Baby's Daddy,1
2000,Fa yeung nin wa,1
1974,The Towering Inferno,1
1973,Shamus,1
2002,À la folie... pas du tout,1
1999,The Straight Story,1
2007,The Brave One,1
1968,Bullitt,1
1971,Play Misty for Me,1
1982,The Beast Within,1
1963,Summer Holiday,1
1982,Kiss Me Goodbye,1
1989,Blue Steel,1
1998,Sib,1
1999,Segunda piel,1
2001,Jay and Silent Bob Strike Back,1
1987,Extreme Prejudice,1
1971,Tang shan da xiong,1
1982,Monsignor,1
1995,The Basketball Diaries,1
2005,Star Wreck: In the Pirkinning,1
2000,The Golden Bowl,1
1962,Jules et Jim,1
2000,Isn't She Great,1
1985,To Live and Die in L.A.,1
2003,Kangaroo Jack,1
1981,Die bleierne Zeit,1
2001,Le fabuleux destin d'Amélie Poulain,1
1994,Fresh,1
1951,The Lavender Hill Mob,1
2007,Delta Farce,1
1997,Welcome to Sarajevo,1
1995,Stonewall,1
2007,The Air I Breathe,1
1995,The Mangler,1
2003,Lara Croft Tomb Raider: The Cradle of Life,1
2006,Find Me Guilty,1
2000,Small Time Crooks,1
2006,Curious George,1
1972,Goyôkiba,1
1944,Arsenic and Old Lace,1
2006,Fast Track,1
1997,Stag,1
1988,Le grand bleu,1
2003,Bu san,1
1977,Cet obscur objet du désir,1
1986,Night of the Creeps,1
2008,Witless Protection,1
2006,Rescue Dawn,1
1951,Operation Pacific,1
2002,Two Weeks Notice,1
2002,Tibet: Cry of the Snow Lion,1
2006,Dreamgirls,1
1964,The Unsinkable Molly Brown,1
2002,The Guru,1
1980,La mort en direct,1
1997,City of Industry,1
2006,Jesus Camp,1
1999,Tea with Mussolini,1
1985,28 Up,1
1951,Captain Horatio Hornblower R.N.,1
1987,Stakeout,1
2000,Fast Food Fast Women,1
2002,Dahmer,1
2001,An American Rhapsody,1
1980,Moskva slezam ne verit,1
2002,Hometown Legend,1
1979,Meteor,1
1996,All Dogs Go to Heaven 2,1
1994,The Glass Shield,1
2005,Hostage,1
1996,Le huitième jour,1
2005,The Devil and Daniel Johnston,1
2005,Law & Order: Trial by Jury,1
2008,Fly Me to the Moon,1
2007,Day Zero,1
1990,Graveyard Shift,1
2001,Bijitâ Q,1
1937,Snow White and the Seven Dwarfs,1
1998,Mia aioniotita kai mia mera,1
1948,Louisiana Story,1
1992,Mr. Baseball,1
1978,"Same Time, Next Year",1
1942,The Major and the Minor,1
2003,Girlhood,1
1975,The Adventure of Sherlock Holmes' Smarter Brother,1
1982,La notte di San Lorenzo,1
1997,Booty Call,1
1982,The Sword and the Sorcerer,1
1980,When Time Ran Out...,1
1999,Joi gin a long,1
1930,Le sang d'un poète,1
1945,The Spiral Staircase,1
2004,Gunner Palace,1
1982,Tootsie,1
2008,Diminished Capacity,1
1997,Spawn,1
1996,The Quiet Room,1
1987,Rent-a-Cop,1
1998,No se lo digas a nadie,1
1980,Serial,1
1999,Blackadder Back & Forth,1
1991,Life Stinks,1
1991,By the Sword,1
2002,Pokémon 4Ever,1
1997,The Sweet Hereafter,1
1992,Where the Day Takes You,1
2003,House of the Dead,1
1975,Faustrecht der Freiheit,1
2002,Passionada,1
1992,The Crying Game,1
2003,American Wedding,1
2003,Wonderful Days,1
1997,Incognito,1
1988,Vice Versa,1
2000,Guizi lai le,1
2001,Kissing Jessica Stein,1
1989,Ghostbusters II,1
1990,Goodfellas,1
1917,The Immigrant,1
1986,Youngblood,1
1997,Telling Lies in America,1
1990,Ghost,1
2002,Big Fat Liar,1
1991,The Silence of the Lambs,1
1998,L'ennui,1
1996,The Birdcage,1
2001,Lan yu,1
2003,Love Actually,1
1976,"No Deposit, No Return",1
2004,Ladder 49,1
1981,The Hitch Hikers Guide to the Galaxy,1
2006,SherryBaby,1
2006,Material Girls,1
1968,Chitty Chitty Bang Bang,1
2001,Saving Silverman,1
1999,The Third Miracle,1
2005,Sky High,1
1967,"Horí, má panenko",1
2006,Incubus,1
1992,Forever Young,1
1987,From the Hip,1
1973,Jingi naki tatakai,1
1965,A Charlie Brown Christmas,1
1993,In the Name of the Father,1
2005,Herbie Fully Loaded,1
1999,"""Law & Order: Special Victims Unit""",1
1997,Event Horizon,1
2003,The Statement,1
1984,Breakin',1
1987,Hot Pursuit,1
2000,Nutty Professor II: The Klumps,1
1987,84 Charing Cross Road,1
1991,Madame Bovary,1
1990,The Two Jakes,1
2000,Pane e tulipani,1
1977,Slap Shot,1
2005,xXx: State of the Union,1
1952,Saikaku ichidai onna,1
1931,À nous la liberté,1
1997,Mimic,1
1996,Mother Night,1
1928,La passion de Jeanne d'Arc,1
2007,Code Name: The Cleaner,1
2004,San-Antonio,1
2003,Shade,1
2004,"""House M.D.""",1
2000,Eu Tu Eles,1
1956,Le ballon rouge,1
1997,Money Talks,1
1922,Nanook of the North,1
1992,Tui shou,1
1976,Bugsy Malone,1
1993,"Walker, Texas Ranger",1
2001,On the Edge,1
1940,His Girl Friday,1
1995,Land and Freedom,1
2007,Un secret,1
1986,Gung Ho,1
1974,Murder on the Orient Express,1
2000,Born Romantic,1
2001,The Others,1
1964,A Hard Day's Night,1
2007,Vacancy,1
1991,Dying Young,1
1951,Bullfighter and the Lady,1
1977,Rollercoaster,1
1948,Rope,1
1999,The Matrix,1
1962,That Touch of Mink,1
1965,"Die, Monster, Die!",1
1990,Look Who's Talking Too,1
1991,Mystery Date,1
1995,Vampire in Brooklyn,1
2006,Arthur et les Minimoys,1
1997,La tregua,1
1981,Sjecas li se Dolly Bell,1
1994,Speechless,1
1925,Seven Chances,1
2005,Casanova,1
1986,Ruthless People,1
2002,They,1
2001,The Lord of the Rings: The Fellowship of the Ring,1
2002,Cidade de Deus,1
2001,Rat Race,1
1990,Berkeley in the Sixties,1
2002,Stone Reader,1
1997,Gadjo dilo,1
2008,Disaster Movie,1
1986,Wildcats,1
1995,The Fantasticks,1
1987,Outrageous Fortune,1
1955,Conquest of Space,1
1981,Outland,1
2003,A Mighty Wind,1
1984,The Cotton Club,1
1996,The Arrival,1
1975,Pasqualino Settebellezze,1
1975,The Sunshine Boys,1
2001,3000 Miles to Graceland,1
2000,Lost Souls,1
1932,White Zombie,1
2004,Hauru no ugoku shiro,1
1999,Edtv,1
1969,Le chagrin et la pitié,1
1991,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1
1998,Train de vie,1
1993,Bound by Honor,1
2001,Juana la Loca,1
1999,The Deep End of the Ocean,1
2000,Boys Life 3,1
1988,Camille Claudel,1
1936,Rembrandt,1
1990,The Grifters,1
1992,Pure Country,1
1989,Sea of Love,1
2000,Thomas est amoureux,1
1997,Full Tilt Boogie,1
1981,My Dinner with Andre,1
1992,The Distinguished Gentleman,1
2005,Tsotsi,1
2000,Secret Society,1
1940,I Love You Again,1
1949,Tokyo Joe,1
2003,Beyond Re-Animator,1
2002,K-19: The Widowmaker,1
2003,April's Shower,1
2001,Bella Martha,1
2005,The Great Raid,1
1984,Breakin' 2: Electric Boogaloo,1
1937,A Day at the Races,1
1973,Amarcord,1
1962,Lawrence of Arabia,1
2004,Mail Order Wife,1
1947,My Favorite Brunette,1
1990,Sibling Rivalry,1
1970,Too Late the Hero,1
2007,Dedication,1
2008,Sweet Nothing in My Ear,1
1967,How to Succeed in Business Without Really Trying,1
1951,The Desert Fox: The Story of Rommel,1
2008,Martyrs,1
2001,Baby Boy,1
1980,Shi di chu ma,1
1935,Texas Terror,1
1993,Even Cowgirls Get the Blues,1
1961,Såsom i en spegel,1
1964,Robinson Crusoe on Mars,1
2000,Shun liu Ni liu,1
1998,The Opposite of Sex,1
1998,A Civil Action,1
1987,Leonard Part 6,1
1992,Cool World,1
1973,The Day of the Dolphin,1
1953,Tôkyô monogatari,1
1978,Circle of Iron,1
1948,Wake of the Red Witch,1
2003,View from the Top,1
1999,Baby Geniuses,1
1982,Conan the Barbarian,1
1996,Executive Decision,1
2003,The Saddest Music in the World,1
1986,Gothic,1
2004,The Day After Tomorrow,1
1988,Killer Klowns from Outer Space,1
1977,Empire of the Ants,1
2006,Den brysomme mannen,1
1941,Here Comes Mr. Jordan,1
2001,Novocaine,1
2003,Schultze Gets the Blues,1
1993,Father Hood,1
2005,Feast,1
2003,Stupeur et tremblements,1
2002,Hart's War,1
1996,Poison Ivy II,1
2004,The SpongeBob SquarePants Movie,1
2003,Tokyo Godfathers,1
1999,The Mod Squad,1
2001,Cet amour-là,1
1999,Julien Donkey-Boy,1
1996,"Love, etc.",1
1955,Bride of the Monster,1
1956,The Wrong Man,1
1990,Air America,1
1962,Nóz w wodzie,1
2001,The Cat's Meow,1
1974,The Castaway Cowboy,1
1942,The Man Who Came to Dinner,1
1999,"""Family Guy""",1
2002,Callas Forever,1
2002,The Count of Monte Cristo,1
1988,The Navigator: A Mediaeval Odyssey,1
1996,Emma,1
1993,For Love or Money,1
2001,The Emperor's New Clothes,1
2004,El abrazo partido,1
1983,Cujo,1
2001,Goyangileul butaghae,1
1999,The Tic Code,1
2002,Stealing Harvard,1
1982,Banana Joe,1
1979,North Sea Hijack,1
1953,Invaders from Mars,1
1995,In the Bleak Midwinter,1
1943,Guadalcanal Diary,1
1984,Places in the Heart,1
1995,Higher Learning,1
1987,The Princess Bride,1
1971,McCabe & Mrs. Miller,1
2007,An American Crime,1
1961,The Errand Boy,1
1997,Vegas Vacation,1
1987,Project X,1
1970,Le boucher,1
1959,Anatomy of a Murder,1
1994,Bullets Over Broadway,1
1992,Candyman,1
2002,BubbaHo-Tep,1
2000,Presque rien,1
1948,The Time of Your Life,1
1994,Dung che sai duk,1
1995,Le confessionnal,1
2009,Race to Witch Mountain,1
1990,Darkman,1
1978,Goin' South,1
1990,Chicago Joe and the Showgirl,1
1988,Moon Over Parador,1
1997,Hana-bi,1
2006,Street Thief,1
1966,Morgan: A Suitable Case for Treatment,1
2001,Kids World,1
2006,Van Wilder 2: The Rise of Taj,1
1996,Breaking the Waves,1
1945,The Thin Man Goes Home,1
1999,Injeong sajeong bol geot eobtda,1
2006,Stephanie Daley,1
2002,Eight Crazy Nights,1
1999,Dogma,1
1977,Exorcist II: The Heretic,1
2000,Famous,1
2006,Copying Beethoven,1
1999,Kaosu,1
1977,Soldaat van Oranje,1
1939,Son of Frankenstein,1
1938,Le quai des brumes,1
1939,Stagecoach,1
1999,The Adventures of Elmo in Grouchland,1
1996,Fly Away Home,1
1987,My Demon Lover,1
1998,Regret to Inform,1
1992,Critters 4,1
1995,Search and Destroy,1
1997,Knockin' on Heaven's Door,1
1970,Myra Breckinridge,1
1973,Pat Garrett & Billy the Kid,1
2001,Julie Johnson,1
1952,The Big Trees,1
1982,Zapped!,1
1980,The Ninth Configuration,1
1994,Widows' Peak,1
1995,La cérémonie,1
1996,"I Love You, I Love You Not",1
2003,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,1
1990,Due occhi diabolici,1
2000,Rules of Engagement,1
1998,"Fin août, début septembre",1
1982,The Border,1
2006,"""Heroes""",1
1986,Henry: Portrait of a Serial Killer,1
2007,Savage Grace,1
1967,The Dirty Dozen,1
1995,The Haunted World of Edward D. Wood Jr.,1
2002,Blue Car,1
1963,8½,1
1984,Efter repetitionen,1
1982,Sophie's Choice,1
1997,Man of Her Dreams,1
1996,Scream,1
1936,The Petrified Forest,1
2006,Azuloscurocasinegro,1
1983,Streamers,1
2003,Zelary,1
2007,Stardust,1
2005,The Kid & I,1
1995,Dadetown,1
2006,The Prestige,1
2007,Redacted,1
1964,The Three Lives of Thomasina,1
1957,Smultronstället,1
1956,X: The Unknown,1
1957,Sweet Smell of Success,1
2007,Death Defying Acts,1
1937,In Old Chicago,1
1997,Inventing the Abbotts,1
1992,Strictly Ballroom,1
2007,Rogue,1
1975,Brannigan,1
1981,Mephisto,1
2002,Jackass: The Movie,1
1991,Night on Earth,1
2003,PTU,1
1998,There's Something About Mary,1
1983,Il mondo di Yor,1
1990,Truly Madly Deeply,1
1992,Wind,1
1983,The Outsiders,1
1960,Where the Boys Are,1
1988,Messenger of Death,1
1976,The Missouri Breaks,1
1999,La ley de Herodes,1
2002,Demonlover,1
2001,See Spot Run,1
1995,Sense and Sensibility,1
1978,Jubilee,1
1993,Six Degrees of Separation,1
1997,Excess Baggage,1
1970,Auch Zwerge haben klein angefangen,1
1995,Last Summer in the Hamptons,1
2008,Outpost,1
2006,Quinceañera,1
1979,The Wanderers,1
1997,The Butcher Boy,1
2007,Happily N'Ever After,1
1966,How to Steal a Million,1
2000,Here on Earth,1
2003,Robot Stories,1
1995,Apollo 13,1
1990,Men of Respect,1
1998,Happiness,1
1988,Biloxi Blues,1
2008,"War, Inc.",1
2005,Harsh Times,1
1991,The Hard Way,1
2006,Half Light,1
1987,Flowers in the Attic,1
1968,Skammen,1
1998,Sliding Doors,1
1996,The Watermelon Woman,1
1999,Breakfast of Champions,1
1990,Lionheart,1
2007,De fortabte sjæles ø,1
1999,Blue Streak,1
1989,Music Box,1
1957,The Tin Star,1
1991,"He Said, She Said",1
1981,Czlowiek z zelaza,1
1942,Bambi,1
1976,Voyage of the Damned,1
1966,Fahrenheit 451,1
2003,The Dreamers,1
2003,Willard,1
2004,Win a Date with Tad Hamilton!,1
1999,Pola X,1
1964,The Night of the Iguana,1
2006,Hollywoodland,1
1979,Quadrophenia,1
1993,Nowhere to Run,1
2004,Resident Evil: Apocalypse,1
2002,Home Room,1
2007,Sukkar banat,1
1974,Thriller - en grym film,1
2008,Sauna,1
1986,Meatballs III: Summer Job,1
2001,The Fluffer,1
1987,Full Metal Jacket,1
1996,2 Days in the Valley,1
1971,Countess Dracula,1
1995,Magic in the Water,1
1986,Haunted Honeymoon,1
1998,Rush Hour,1
2003,The Recruit,1
1995,Tokyo Fist,1
2006,Nacho Libre,1
1996,Entertaining Angels: The Dorothy Day Story,1
1998,SF: Episode One,1
1990,Miami Blues,1
1988,Gandahar,1
1999,Bowfinger,1
1978,Convoy,1
2001,À ma soeur!,1
1998,Return to Paradise,1
1970,Start the Revolution Without Me,1
1995,Aladdin and the King of Thieves,1
1987,The Stepfather,1
2005,Saw II,1
2005,The Quiet,1
1946,Song of the South,1
1945,Detour,1
1998,Clay Pigeons,1
1952,Le carrosse d'or,1
2002,One Hour Photo,1
1989,Prancer,1
1960,Strangers When We Meet,1
1994,Nattevagten,1
1987,Overboard,1
1997,A Thousand Acres,1
2007,Reign Over Me,1
1984,Moscow on the Hudson,1
1992,Lorenzo's Oil,1
1970,Two Mules for Sister Sara,1
1990,The Long Walk Home,1
2007,Magicians,1
1969,Hercules in New York,1
1990,Die xue jie tou,1
1993,The Ballad of Little Jo,1
1991,Beauty and the Beast,1
1995,Stuart Saves His Family,1
2003,Chavez: Inside the Coup,1
1997,Alaska: Spirit of the Wild,1
1999,Ravenous,1
1977,Rolling Thunder,1
2000,Esther Kahn,1
1992,Honey I Blew Up the Kid,1
1989,Eat a Bowl of Tea,1
1951,Quo Vadis,1
1992,Deep Cover,1
2000,The St. Francisville Experiment,1
1956,Somebody Up There Likes Me,1
1996,Sip si 32 dou,1
1975,Tommy,1
1962,Chûshingura,1
1966,Funeral in Berlin,1
2008,Superhero Movie,1
1979,"""Tinker, Tailor, Soldier, Spy""",1
2009,Public Enemies,1
1988,Young Guns,1
1995,The Last Supper,1
1960,Sink the Bismarck!,1
2008,Righteous Kill,1
2001,Lucky Break,1
1947,Dead Reckoning,1
1986,Children of a Lesser God,1
2002,Boat Trip,1
1968,Dracula Has Risen from the Grave,1
1997,Con Air,1
1991,Les amants du Pont-Neuf,1
2001,Sweet November,1
1952,Lo sceicco bianco,1
1980,Hero at Large,1
1986,Big Trouble in Little China,1
1994,Fear of a Black Hat,1
1998,Lost in Space,1
1999,The Iron Giant,1
2004,Scooby Doo 2: Monsters Unleashed,1
2008,Strange Wilderness,1
2006,Aquamarine,1
1991,Death in Brunswick,1
1996,The Cable Guy,1
2001,Captain Corelli's Mandolin,1
1998,Moby Dick,1
1999,Erleuchtung garantiert,1
2008,Quantum of Solace,1
2007,[Rec],1
1987,Au revoir les enfants,1
1991,Wong Fei Hung,1
1988,Salome's Last Dance,1
2005,Sorstalanság,1
1984,Seksmisja,1
1989,Miss Firecracker,1
1989,Chattahoochee,1
1994,Vanya on 42nd Street,1
1980,Heaven's Gate,1
1992,Ladybugs,1
2007,Kabluey,1
1995,"To Wong Foo Thanks for Everything, Julie Newmar",1
1991,Children of the Night,1
2001,Joe Somebody,1
1974,Lisa e il diavolo,1
2000,Dancing in September,1
1945,I Know Where I'm Going!',1
1965,The Great Race,1
1993,What's Love Got to Do with It,1
1960,Saturday Night and Sunday Morning,1
2001,Domestic Disturbance,1
1987,A Prayer for the Dying,1
1979,The Onion Field,1
1992,Blame It on the Bellboy,1
1962,Hatari!,1
1990,The Sheltering Sky,1
2007,Mio fratello è figlio unico,1
1996,Bordello of Blood,1
1977,You Light Up My Life,1
1977,Pumping Iron,1
1967,I'll Never Forget What's'isname,1
1955,Summertime,1
2000,Thirteen Days,1
1993,Jûbê ninpûchô,1
2001,Tomcats,1
1951,A Place in the Sun,1
2007,Who's Your Caddy?,1
1962,Experiment in Terror,1
1994,Blank Check,1
1985,Finnegan Begin Again,1
2001,Storytelling,1
1950,Stromboli,1
1996,Eraser,1
1981,Le professionnel,1
1946,The Best Years of Our Lives,1
1987,3 Men and a Baby,1
2006,Hors de prix,1
1987,Dirty Dancing,1
1966,Un homme et une femme,1
2003,Good Bye Lenin!,1
1970,The Phantom Tollbooth,1
2007,Butterfly on a Wheel,1
1950,Luci del varietà,1
1961,Come September,1
1973,Serpico,1
2002,Antwone Fisher,1
2007,Mongol,1
1963,Shock Corridor,1
1988,The Beast of War,1
1944,I bambini ci guardano,1
1958,Les amants,1
1993,Madadayo,1
1974,Blood for Dracula,1
1992,Belle epoque,1
2003,The Sleeping Dictionary,1
2006,The Rape of Europa,1
1938,La bête humaine,1
2005,Dark Water,1
2001,The Lost Skeleton of Cadavra,1
1935,A Night at the Opera,1
1966,The Ugly Dachshund,1
1982,Die Sehnsucht der Veronika Voss,1
1988,Caddyshack II,1
1998,Star Trek: Insurrection,1
1994,A Low Down Dirty Shame,1
1943,Sherlock Holmes Faces Death,1
1959,Operation Petticoat,1
2004,Melinda and Melinda,1
1960,L'avventura,1
2005,Bewitched,1
2004,Hidalgo,1
1978,Ai no borei,1
1994,Star Trek: Generations,1
2002,Clockstoppers,1
1993,The Vanishing,1
1981,The Chosen,1
1975,Keetje Tippel,1
1988,The Last Temptation of Christ,1
2002,The Truth About Charlie,1
1994,Phantasm III: Lord of the Dead,1
1997,The Peacemaker,1
1999,Big Daddy,1
1981,Continental Divide,1
2000,Shadow Magic,1
1949,"Abbott and Costello Meet the Killer, Boris Karloff",1
1955,Pather Panchali,1
1973,Mean Streets,1
1980,The Dogs of War,1
1988,Feds,1
1994,Mute Witness,1
1979,Phantasm,1
2001,Prozac Nation,1
1963,The Thrill of It All,1
2003,Milk and Honey,1
1992,Howards End,1
1976,The Cassandra Crossing,1
2006,Bobby,1
1998,Resurrection Man,1
2004,Vera Drake,1
1969,The Assassination Bureau,1
1993,Jason Goes to Hell: The Final Friday,1
1976,Marathon Man,1
1998,The Big Lebowski,1
2001,Very Annie Mary,1
2004,Dead Leaves,1
2001,Dogtown and Z-Boys,1
1963,Tystnaden,1
1999,Virtual Sexuality,1
1997,Viagem ao Princípio do Mundo,1
1993,Les visiteurs,1
1987,Ôritsu uchûgun Oneamisu no tsubasa,1
2001,Jason X,1
1974,The Odessa File,1
1992,Husbands and Wives,1
2001,Gosford Park,1
1998,My Name Is Joe,1
1963,It's a Mad Mad Mad Mad World,1
2008,Sex Drive,1
1993,The Hour of the Pig,1
1993,Guilty as Sin,1
1936,Follow the Fleet,1
2004,Mean Creek,1
1969,Marooned,1
1994,The Stand,1
1989,Little Nemo: Adventures in Slumberland,1
1984,"Paris, Texas",1
2004,Head in the Clouds,1
1994,Huozhe,1
1999,Brokedown Palace,1
1991,Guilty by Suspicion,1
2006,Lady Chatterley,1
1982,Pandemonium,1
1991,White Fang,1
2001,The Mexican,1
1989,Friday the 13th Part VIII: Jason Takes Manhattan,1
1971,The Beguiled,1
1961,Judgment at Nuremberg,1
1987,Babettes gæstebud,1
1966,Dracula: Prince of Darkness,1
1959,I'm All Right Jack,1
1976,"Mother, Jugs & Speed",1
2000,Dayereh,1
1988,Vibes,1
1962,Girls! Girls! Girls!,1
1982,Evil Under the Sun,1
1973,Coffy,1
2003,11:14,1
2001,Nomads,1
1997,Kundun,1
1969,More,1
2003,Casa de los babys,1
1934,The Thin Man,1
2000,101 Reykjavík,1
2003,A Guy Thing,1
1997,In & Out,1
2005,Deuce Bigalow: European Gigolo,1
2000,The Adventures of Rocky & Bullwinkle,1
1968,Barbarella,1
2007,Helvetica,1
1968,The Night of the Following Day,1
1968,Winnie the Pooh and the Blustery Day,1
2001,Sur mes lèvres,1
1998,Return with Honor,1
2004,The Prince & Me,1
1988,Colors,1
1971,Billy Jack,1
2000,Hellhounds on My Trail: The Afterlife of Robert Johnson,1
1982,Airplane II: The Sequel,1
2003,Rugrats Go Wild,1
1987,Fatal Attraction,1
1974,The Taking of Pelham One Two Three,1
2006,Cars,1
1990,Bird on a Wire,1
1999,The Big Kahuna,1
2000,Vengo,1
2002,Derrida,1
1991,Mediterraneo,1
1988,Hellbound: Hellraiser II,1
2006,Gridiron Gang,1
1946,The Harvey Girls,1
1940,The Great Dictator,1
1965,36 Hours,1
1970,The Owl and the Pussycat,1
1940,The Devil Bat,1
2002,American Dreams,1
1993,Late Show with David Letterman,1
1996,Tin Cup,1
2003,Billabong Odyssey,1
1964,Bikini Beach,1
1988,Poltergeist III,1
1996,Adrenalin: Fear the Rush,1
2000,Salsa,1
2004,2046,1
1979,The Lady in Red,1
1980,Bad Timing,1
2002,Naqoyqatsi,1
1988,Tapeheads,1
1985,Howling II: Stirba - Werewolf Bitch,1
1997,Robinson Crusoe,1
1980,The Long Riders,1
1955,The Rose Tattoo,1
2003,Born Rich,1
1999,Wo de fu qin mu qin,1
1992,Zebrahead,1
1959,Return of the Fly,1
1989,Christmas Vacation,1
2004,The Bourne Supremacy,1
1999,Deuce Bigalow: Male Gigolo,1
1980,Zombi Holocaust,1
1965,The Sons of Katie Elder,1
1934,It Happened One Night,1
1937,Young and Innocent,1
1997,Gone Fishin',1
2002,The Heart of Me,1
1985,Mishima: A Life in Four Chapters,1
2000,Before Night Falls,1
2008,Niko - Lentäjän poika,1
1997,Deceiver,1
1959,It Happened to Jane,1
2003,Hangman's Curse,1
1971,Klute,1
1967,Jag är nyfiken - en film i gult,1
1986,The Best of Times,1
1978,Interiors,1
1993,Sleepless in Seattle,1
1993,The Good Son,1
2002,Hable con ella,1
1985,Morons from Outer Space,1
1996,American Buffalo,1
1983,De lift,1
1989,Dead Calm,1
1971,The Barefoot Executive,1
2007,Captivity,1
1998,The Last Days of Disco,1
1996,The Pallbearer,1
2007,Before the Devil Knows You're Dead,1
1982,Class of 1984,1
1993,Métisse,1
1995,Nine Months,1
1993,Babylon 5: The Gathering,1
2005,The Ballad of Jack and Rose,1
1993,Tombstone,1
1964,The Pawnbroker,1
1978,Good Guys Wear Black,1
1998,City of Angels,1
1972,Fritz the Cat,1
1977,The Duellists,1
2005,Zui hao de shi guang,1
1990,Internal Affairs,1
1985,The Slugger's Wife,1
2001,Lovely & Amazing,1
1978,Every Which Way But Loose,1
1980,Wholly Moses!,1
1996,Bottle Rocket,1
2007,Disturbia,1
1995,A Pyromaniac's Love Story,1
1985,Defence of the Realm,1
1986,Tenkû no shiro Rapyuta,1
1953,Arrowhead,1
2005,The Thing About My Folks,1
1999,For Love of the Game,1
2000,Maelström,1
1995,Crying Freeman,1
2000,Gossip,1
1947,Nightmare Alley,1
1998,Species II,1
1993,The Program,1
2000,Love's Labour's Lost,1
2000,Erin Brockovich,1
2004,Eros,1
1965,"Alphaville, une étrange aventure de Lemmy Caution",1
1991,Dogfight,1
1975,Breakout,1
1995,Three Wishes,1
1972,The Magnificent Seven Ride!,1
1974,The Conversation,1
1939,Ninotchka,1
2006,Cashback,1
2006,An Inconvenient Truth,1
1963,Le petit soldat,1
1996,Heaven's Prisoners,1
1994,The Pagemaster,1
1997,Meet Wally Sparks,1
2007,Mr. Magorium's Wonder Emporium,1
1936,Camille,1
1987,The Glass Menagerie,1
2000,The Contender,1
2005,Batman Begins,1
2006,Toki o kakeru shôjo,1
1989,Brenda Starr,1
2003,Crime Spree,1
1998,Shakespeare in Love,1
1966,Arthur! And the Square Knights of the Round Table,1
1970,Beneath the Planet of the Apes,1
2003,Wrong Turn,1
1993,Smoking/No Smoking,1
2007,Ladrón que roba a ladrón,1
1968,With Six You Get Eggroll,1
1987,RoboCop,1
1997,The Tango Lesson,1
2005,Beauty Shop,1
1933,Queen Christina,1
1999,Jakob the Liar,1
2002,Orange County,1
1995,Synthetic Pleasures,1
1955,Les diaboliques,1
1992,Juice,1
2005,Paradise Now,1
2007,Permanent Vacation,1
2001,Original Sin,1
1979,Time After Time,1
1991,Mobsters,1
1999,Miss Julie,1
1967,Play Time,1
1962,Ride the High Country,1
2003,What a Girl Wants,1
1944,The Mummy's Curse,1
2003,Fear X,1
1946,Gilda,1
1983,Heat and Dust,1
1995,Flirt,1
2000,Escaflowne,1
2003,The Matrix Reloaded,1
1998,Ringu,1
1979,The Black Hole,1
1991,The Rocketeer,1
1929,The Broadway Melody,1
1990,Europa Europa,1
1995,Unzipped,1
1966,A Man for All Seasons,1
1924,Sherlock Jr.,1
1944,Hets,1
1993,En compagnie d'Antonin Artaud,1
2000,Ready to Rumble,1
1994,Some Folks Call It a Sling Blade,1
1987,The Secret of My Succe$s,1
1980,Bronco Billy,1
1980,The Nude Bomb,1
1997,Orphans,1
2006,The Texas Chainsaw Massacre: The Beginning,1
2002,The Scorpion King,1
1996,Dream for an Insomniac,1
1984,Beat Street,1
1984,Starman,1
2003,Azumi,1
1991,A Brief History of Time,1
2004,Spartan,1
2000,Chunhyangdyun,1
1987,Beverly Hills Cop II,1
1986,The Money Pit,1
1939,Another Thin Man,1
1986,Witchboard,1
2005,Nine Lives,1
1980,Carny,1
1995,Lord of Illusions,1
1988,Frantic,1
2001,The Other Side of Heaven,1
1987,Like Father Like Son,1
2002,The Business of Fancydancing,1
2005,Colour Me Kubrick: A True...ish Story,1
1928,"Steamboat Bill, Jr.",1
1949,The Red Pony,1
2005,2001 Maniacs,1
2006,Taxidermia,1
1994,Princess Caraboo,1
1985,Shoah,1
1996,Get on the Bus,1
1961,L'année dernière à Marienbad,1
2000,Camera Obscura,1
1955,Mister Roberts,1
1938,Love Finds Andy Hardy,1
2003,Uncle Nino,1
1995,The Big Green,1
1957,The Deadly Mantis,1
1989,Red Scorpion,1
2007,Lars and the Real Girl,1
1995,GoldenEye,1
1988,Criminal Law,1
1992,Vacas,1
1988,"Elvira, Mistress of the Dark",1
2002,El otro lado de la cama,1
1945,Dakota,1
2006,Talladega Nights: The Ballad of Ricky Bobby,1
1988,The Telephone,1
2004,We Don't Live Here Anymore,1
1996,Promised Land,1
1970,Woodstock,1
1955,Tarantula,1
2006,The Pleasure of Your Company,1
2002,Sorority Boys,1
1961,Night Tide,1
1998,Gia,1
2007,Year of the Dog,1
2000,Ginger Snaps,1
1966,Duel at Diablo,1
1936,After the Thin Man,1
1979,Caligola,1
1996,Night Falls on Manhattan,1
1978,Foul Play,1
1984,Racing with the Moon,1
1993,Cronos,1
2007,Charlie Bartlett,1
2007,Ghost Rider,1
