name,cast_position,count
Joyce Bulifant,13,1
Paul S. Nuss,44,1
Richard R. Ruccolo,2,1
Elizabeth Kemler,45,1
Ramsey Faragallah,24,1
Nicholas Sean Gomez,17,1
Anastasie Tode Bohi,10,1
Chalmer Maddox,35,1
Janine Turner,1,1
Seva Novgorodtsev,22,1
Miriam Díaz Aroca,17,1
Secretary of Defense,19,1
Susan Lynch,2,1
Maïwenn Le Besco,13,1
George Carson,56,1
Lee Shael,42,1
Loretta Tupper,63,1
Nadege Beausson-Diagne,8,1
Howard E. Brechner,28,1
Kelly Wolf,2,1
Susan Hegarty,38,1
Frank Lugo,22,1
Harry Woods,10,1
James Woods,20,1
Burton Zucker,38,1
Moroni Olsen,36,1
Stasha,35,1
Cynthia Dale,15,1
Laurence Payne,11,1
George Rafferty,51,1
Lilybell Crawford,12,1
Savely Kramarov,5,1
Charlene Dallas,4,1
Jeff Beck,14,1
Tracy Pettit,7,1
Ben Zeller,29,1
Sean McDonagh,8,1
Scooter Stevens,28,1
Carl Bradshaw,3,1
Michael McDougall,21,1
Christine Rose,29,1
Sylvia Lopez,28,1
Zsa Zsa Gabor,22,1
Lori Sigrist,30,1
Lyle Lovett,5,1
Ken Thorley,28,1
Marsha Carter,16,1
Jennie Moreau,20,1
Dr. Anatoly Sagalevich,13,1
Ceesepe,8,1
Mary Selway,19,1
Frank McGlynn Sr.,33,1
Tammy Amerson,9,1
Tom Kurlander,25,1
Beth Porter,24,1
Erasmus C. Alfano,12,1
Van Heflin,6,1
Tom Keenan,32,1
Kevin Cooney,11,1
Martii Coles,10,1
Alfred Anthony,12,1
Holly Hunter,10,1
Frank Hyers,30,1
Lew Brocker,1,1
Amy Steel,39,1
Bruce Spence,5,1
Linda Scott,23,1
Jase Blankfort,7,1
Ed O'Neill,7,1
Bruno Abraham-Kremor,10,1
Ann Bell,14,1
Harve Presnell,14,1
Ursula Burton,29,1
Li Bin,6,1
Tony Miller,7,1
Winston Ntshona,4,1
Carlos Ramirez,10,1
Lois Dian Hicks,26,1
Mohammad Amir Naji,1,1
Manfred Shulz,22,1
Maria Verdi,4,1
Lynne Marie Stewart,23,1
Sarah Danielle Madison,1,1
Lisa Koch,18,1
Otto Reichow,32,1
Dennis Lipscomb,37,1
Kenjiro Ishimaru,7,1
Saundra Santiago,30,1
Jacques Roman,6,1
Brandon Hammond,26,1
Lore Segal,58,1
Victor Travers,61,1
Jeffrey Christopher Todd,58,1
Vadim Glowna,9,1
Stephen Jones,12,1
Eamon Rohan,20,1
Ned Young,5,1
Erich Anderson,6,1
Terry Sturmey,50,1
Tyrone Roy,89,1
Robert Russell,16,1
Rodrigo Obregón,1,1
Jimmie Dale Gilmore,21,1
Johnny Sneed,47,1
Andy Kaufman,1,1
Luiz Lobo,20,1
Joris Jarsky,8,1
Mandy Marsh,36,1
Ellen DeGeneres,2,1
Jeremy Ratchford,9,1
Charles Siebert II,63,1
Sam McMurray,12,1
Jerry Phillips,39,1
Joe Whipp,31,1
Joe J. Garcia,31,1
Marcia Rodd,5,1
Zohra Segal,7,1
Louise Lasser,4,1
Craig Hill,7,1
Iman,4,1
Robert Goulet,2,1
Stella Hall,29,1
Didier Flamand,1,1
Matthew McGrory,11,1
Ken Sharrock,22,1
Julie Selzer,35,1
Burl Ives,5,1
Alan Tilvern,51,1
June Dayton,19,1
Twiggy,4,1
Nadja Uhl,4,1
Bridget Duvall,22,1
John Meillon,29,1
Chris Rock,33,1
Thulani Didi,10,1
Marina de Van,2,1
Charles Sanders,22,1
Victor Travers,126,1
Pietro Notarianni,5,1
Roger Lowe,11,1
Dan Grimaldi,1,1
Robert Dudley,8,1
Samuel Ball,10,1
Paul Jabara,9,1
Stuart Aikins,24,1
Lola Pashalinski,37,1
Kay E. Kuter,18,1
Pat Oleszko,32,1
Rosalind Ayres,16,1
Ricco Wheat,45,1
David Millbern,10,1
Clare Peck,13,1
Robert Lowery,2,1
Joey de Pinto,17,1
Ben Weber,16,1
Stacey Glick,4,1
Ken Parry,25,1
Forrest G. Wood,12,1
Marthe Keller,12,1
Ted Thorpe,26,1
Efrain Figueroa,2,1
Michael Beach,1,1
Lee Purcell,14,1
Grouchy Boy,33,1
Joseph V. Perry,15,1
Molly Roden,22,1
Julius Charles Ritter,9,1
Michael J. Kaplan,9,1
Vincent Paterson,6,1
Franklin Farnum,31,1
Pierre Vaneck,24,1
Claudia Rosenblat,48,1
Jill Bennett I,16,1
Cedella Marley,18,1
Tiffani Thiessen,50,1
Connie Picard,32,1
Brian Phelan,15,1
Jeanine Taylor,16,1
Richard Derr,17,1
Peter Coe,1,1
Dash Mihok,2,1
Rod Steiger,11,1
Michael Ian Black,11,1
John Lisbon Wood,45,1
Jane Edith Wilson,13,1
Harlan Briggs,11,1
Scott Wilson,17,1
Drag-On,9,1
Thomas Robins,1,1
Kathleen Wilhoite,43,1
George Nokes,24,1
Othon Bastos,7,1
Kevin D. Lindsay,30,1
Georges Corraface,7,1
Zozo Toledo,10,1
Jon T. Benn,10,1
Michael Bowen,34,1
Ethan Wayne,26,1
Damani Roberts,35,1
Chazz Palminteri,11,1
Gail Strickland,4,1
Elizabeth Spriggs,6,1
Joseph Kim,13,1
Wallace Shawn,27,1
Kin Sugai,13,1
Billy Roy,44,1
Brent Carver,1,1
Chick Vennera,1,1
Twink Caplan,13,1
Adrienne Pocock,24,1
Jean Lenauer,3,1
Joe Keenan,25,1
Matt Clark,7,1
Kelley Hazen,13,1
Eileen Ryan,17,1
Ryan Dunn,6,1
Arell Blanton,1,1
Scott 'Carrot Top' Thomps...,1,1
Danny Smith,13,1
Ruth Springford,7,1
Peter Sherayko,23,1
Jodi Long,7,1
Jorge Moreno,24,1
Maria Ricossa,23,1
M.K. Harris,3,1
Dick Bradsell,6,1
John Gabriel,15,1
Evan S. Evans,15,1
Beatrice Winde,7,1
John Lydon,7,1
Vivian Wu,20,1
Michael Ferris,43,1
Max Pfeifer,11,1
John Russell,8,1
Inna Alexeievna,16,1
Ellaraino,26,1
Frieda Inescort,2,1
Larry Ketron,20,1
"Randall ""Tex"" Cobb",5,1
Michael Stearns,44,1
Robert Stack,16,1
Nathan Glazer,3,1
Seth Feeley,19,1
Jane McGregor,2,1
Rusty Lane,13,1
Isabel Lorca,4,1
Muni,9,1
Jessica Cauffiel,5,1
Robert Stack,41,1
Andrew Hawkins,11,1
Traci Ann Dutton,40,1
Shawnee Smith,26,1
Basil Radford,7,1
Ron Collins,38,1
David Crosby,27,1
Jason Robards Jr.,2,1
Dave Sheridan,42,1
Mary Barclay,7,1
Eileen Colgan,23,1
Joe Pilkington,7,1
Full Force,20,1
William Hall Jr.,10,1
Henry Wills,43,1
Garth Gilker,44,1
Tatsuya Funji#88630,9,1
Timothy Jenkins,61,1
B. Constance Barry,10,1
Victoria Bass,8,1
Bob Westmoreland,43,1
David Moscow,2,1
"William ""Giggs"" McGuigan",17,1
Tom McGowan,12,1
Carole Ita White,37,1
Dolly Wells,29,1
Hermiston,22,1
David Gil,15,1
Bobbi Shaw,22,1
Dan Sturkle,26,1
Gary Hudson,14,1
Chosuke Ikariya,8,1
Claudia Christian,6,1
Red West,13,1
Stanislaw Zatloka,55,1
Gregory Linington,34,1
Alexander Folk,15,1
Dom Irrera,27,1
Henderson Forsythe,9,1
Barbara Claman,33,1
Christopher Saylors,31,1
Marusov,5,1
Toni Braxton,6,1
Vince Colosimo,2,1
Tyson Beckford,17,1
Diki Lerner,27,1
Art Smith,19,1
Robert La Sardo,13,1
David Pasquesi,17,1
Michael Rennie,29,1
Vinh Tran,41,1
Emily Mary Haas,38,1
Helen Kleeb,26,1
Vernon Grote,13,1
Hermione Gingold,5,1
Stephen King,1,1
Maria Perschy,10,1
Lynne Marie Stewart,22,1
Tiger Chung Lee,13,1
Sylvia Ivalu,2,1
Frank Nelson,3,1
Don Yesso,18,1
Harlan Jordan,9,1
Noel Guglielmi,24,1
Andrea McKenna,37,1
Jeff Michalski,22,1
Dion DeRizzo,6,1
Jim Burk,9,1
Patrick Fries,47,1
Philip Coolidge,10,1
Michael Shamus Wiles,7,1
Ernie Fuentes,29,1
Ben Piazza,3,1
Janusz Gajos,4,1
Rebecca Lee Meza,44,1
Ronald Squire,3,1
Nan Martin,5,1
George R. Robertson,7,1
Arthur Malet,22,1
Jorge Rivero,2,1
Sel Vitella,40,1
Richard Rebiere,16,1
Treasure Tshabalala,7,1
Joey Perillo,47,1
Carmen De Lavallade,17,1
Michael Currie,25,1
Coyote Shivers,17,1
Gloria Charles,18,1
Jackie Mason,12,1
Elisabeth Welch,17,1
James Philbrook,8,1
Carlos Cervantes,20,1
Bill Paterson,7,1
Harry Murphy,49,1
H.B. Warner,10,1
Robert Adams,30,1
Skay Kuter,26,1
Volker Spengler,3,1
Larry Cherry,33,1
The Dunphy Family,149,1
Denise Gallup,17,1
Skipp Sudduth,10,1
Martha O'Driscoll,38,1
Jeffrey Rogers,18,1
Carrie Preston,8,1
Michael Rapaport,7,1
Charles D. Brown,4,1
Lance August,33,1
Maya Van Peebles,58,1
Lucy Butler,27,1
George T. Odom,192,1
Cynthia Rhodes,24,1
Alexander Streit,47,1
Michael Winters,34,1
Jamie Schuricht,11,1
Laurence Février,15,1
Chip Johnson,19,1
David Sheinkopf,70,1
Jay Hernandez,2,1
George Sweeney,20,1
Pam Abbas,15,1
Wayne Robson,11,1
Akos Tolnay,13,1
Lena Headey,22,1
Constance Purdy,45,1
Barry Sullivan,2,1
Manuel Padilla Jr.,43,1
Jerry Trent,49,1
Terry McCrea,66,1
Kerr Smith,4,1
Ewan Stewart,5,1
Mervyn Nelson,28,1
Amber McIntyre,23,1
Maya Zapata,14,1
Tom Bell,16,1
Beach Dickerson,12,1
Becky Veduccio,25,1
Anthony Mancini Jr.,48,1
Ronald Maccone,22,1
Mets Suber,30,1
Ron Webster,26,1
Marjorie Gresley,43,1
Robert Joy,53,1
Jonathan Cherry,5,1
Michael Elias,51,1
Dyanne Thorne,1,1
Sylvia Kristel,8,1
Tony Simotes,21,1
Michael Bates,15,1
Larry Cedar,11,1
Graham Gordon,57,1
Erin Selwyn,44,1
Andrew Magarian,15,1
Michael Levanios Jr.,8,1
Royce Clark,29,1
Michael DeLorenzo,31,1
Thelonious Bernard,5,1
Ken Becker,17,1
Curtis Credel,12,1
Michael O'Rourke,18,1
Ronnie Schell,9,1
Jack Mower,58,1
Douglas McGrath,1,1
Ken Hutchison,6,1
Yani Gellman,2,1
Bridgit Ryan,1,1
Aurore Clement,10,1
Derrick Sanders,3,1
Lin Wei - Tu,11,1
Jonathan Hole,15,1
Janet Suzman,10,1
Hildegarde Neff,4,1
Mathew Brown,2,1
Ernique Naya,19,1
Pat Colbert,18,1
Jennifer Schwalbach Smith,39,1
David Clyde,13,1
Charlie Murphy,20,1
Ruby Dee,1,1
Bill Corsair,10,1
Paul Constantineau,13,1
Matthew Lawrence,10,1
Freddie Prinze Jr.,5,1
Joe Kopmar,41,1
Ian Gomez,1,1
Kevin Gage,12,1
Marta Fernandez Muro,15,1
Rich Little,22,1
Mike Starr,55,1
James Bree,35,1
Desmond Lee,54,1
Dwayne McLean,27,1
Leo G. Carroll,47,1
Luana Anders,15,1
Norman Chancer,28,1
Rene Russo,6,1
Paul Farrell,6,1
West Buchanan,20,1
Dyna Gauzy,1,1
James Carroll,12,1
Christine Cable,37,1
Forest Whitaker,19,1
Sandy Grizzle,35,1
Valorie Massalas,24,1
Philo Hauser,29,1
Joseph Roy O'Flynn,42,1
Jeremy Howard,54,1
George 'Buck' Flower,4,1
Andy Ross,33,1
Klaus Lowitsch,5,1
W. Joseph Quam,88,1
Cliff Emmich,17,1
Al Harrington,3,1
Jim Dietz,29,1
Lenka Kripac,10,1
Veena Sood,38,1
Alex Van,7,1
Michael Costello,19,1
Clifford Earl,20,1
Treat Williams,11,1
Sven Ole Thorsen,31,1
George Moon,7,1
Scott Westmoreland,15,1
Cecil Elliott,18,1
Henry Graham,13,1
Robin Hoff,42,1
Angel Broadhurst,7,1
Lynne Marta,17,1
Mabel King,12,1
Joseph Mazzarino,5,1
Giovanni Lombardo Radice,1,1
Majandra Delfino,6,1
Beatrice Boepple,38,1
Ted Rae,36,1
Aemillia Robinson,11,1
Joe Whipp,9,1
Bo Foxworth,17,1
D.W. Moffett,4,1
Gerry Black,4,1
Eliane Elias,1,1
Ching Wai Chung,15,1
Whitney Kershaw,9,1
Rhys Williams,14,1
Yen Yee Kwan,8,1
Bill Shirley,9,1
Tom Hanna,48,1
Henry Judd Baker,15,1
Nathaniel Spitzley,27,1
Larry Sellers,21,1
Johnathon Schaech,11,1
Leonard Gaines,22,1
Noriko Hidaka,11,1
Betty Morrissey,11,1
Debra Wilson,22,1
Andrew Wright,11,1
Leah Remini,7,1
Paul Frankeur,1,1
Jennifer Runyon,6,1
Thomas W. Gabrielsson,11,1
Marvin Miller,8,1
Lachy Hulme,30,1
Ryunosuke Kamiki,13,1
Boris Leskin,17,1
Preston Hanson,26,1
Peter Gallagher,2,1
Edward Ardisson#10940,47,1
Mackenzie Crook,1,1
Raye Dowell,30,1
Will Wright,16,1
Chishu Ryu,13,1
Tom Parker,2,1
Keith Marsh,18,1
Billy Van Zandt,9,1
Edward Tudor-Pole,8,1
R.E. Jeffrey,11,1
Charles Thomas Murphy,68,1
Ralph Volkie,50,1
Jamie Kennedy,11,1
Frank Morey,10,1
R.D. Carpenter,14,1
Anita Lee,20,1
Sweet G.,32,1
Albert Venohr,13,1
Mike Genovese,40,1
Phyllis Franklin,1,1
Brandon Messemer,20,1
Michael Bivens,29,1
Daniel Foley,84,1
Vicky Dawson,17,1
Jeanne Pérez,17,1
Michael Fischetti,19,1
Eric Hoziel,24,1
Lorraine Butler,26,1
John Paxton,22,1
Harriet Hoctor,12,1
Gathering Marbet,1,1
Sheila DeWindt,24,1
Justin Hall,30,1
Marcello Thedford,12,1
Ben Blakeman,15,1
Ashley Peldon,11,1
John Sheerin,23,1
Michael McGuire,27,1
Brian Vincent,5,1
Bruce Reed,16,1
Nancy Giles,13,1
Itzhak Perlman,2,1
Tom Lillard,17,1
Frances Tomelty,5,1
Romano Puppo,18,1
Pierre Watkin,11,1
Jason Watkins,41,1
Sibusiso Nxumalo,11,1
Ben Kingsley,18,1
Taylor Anderson,1,1
Everlyn Sampi,1,1
Iphigenie Castiglioni,25,1
Elisabeth Shue,1,1
Paul Valentine,6,1
Fritz Elofsson,15,1
Benny Luke,8,1
Jill Baker,11,1
Dein Perry,13,1
Enzo the Dog,12,1
Jennifer Gimenez,12,1
Jack Eagle,10,1
Bernhard Howe,17,1
Donna Mitchell,15,1
Gary Ballard,10,1
Rene Cleitman,2,1
Joel Grey,5,1
Steve Duffy,44,1
Irving Metzman,31,1
Marina de Tavira,4,1
Mathieu Demy,2,1
Edwin Bordo,23,1
Angela Baddeley,19,1
Duane Davis,17,1
Ed de Fusco,17,1
Richard McMurray,11,1
Pius Savage,7,1
Keith Walker,23,1
Ludovic Berthillot,5,1
Leslie Huntly,20,1
Scot Anthony Robinson,134,1
Don Jeffery,23,1
Little Richard,4,1
Alain Libolt,6,1
Grace Lee Whitney,39,1
Henry Godinez,55,1
Etel Billig,17,1
Richard Graham,16,1
James Villemaire,4,1
Masahiko Ono,14,1
Will Stanton,33,1
Patrick O'Neal,9,1
Ruth McDevitt,19,1
Purnell Pratt,8,1
Mickey Simpson,39,1
Nick Vanoff,22,1
Dominic Philie,12,1
Moktar Dagmouni,43,1
Phil Morris,21,1
Renny Krupinski,21,1
Marisol Padilla Sanchez,7,1
Raymond St. Jacques,12,1
Sheri Levinsky,54,1
Sheila White,13,1
Ann Morell,8,1
Jeff Seymour,6,1
Brian Thompson,25,1
John Benjamin Hickey,9,1
Kenny Gasperson,34,1
Paul A. DiCocco Jr.,13,1
Anthony Sherwood,21,1
Steve Jones,9,1
Shalom Harlow,11,1
Brock Peters,23,1
Ted Gehring,19,1
Roberto Della Casa,11,1
J. Todd Adams,10,1
George Sasaki,21,1
Scott Jaeck,39,1
Tom Penn,62,1
Diane Rodriguez,20,1
Dick Durock,17,1
Dee Carroll,21,1
Lisa Lu,18,1
Alan C. Peterson,32,1
Emil Felski,33,1
Mário Barroso,10,1
Larry Hogan,23,1
Albert Hague,14,1
Brenda Swanson,30,1
Helena Bonham Carter,19,1
Katie Drinkwater,11,1
Enid Saunders,12,1
Joanna Miles,6,1
Shannon Malone,2,1
Stephen Root,12,1
Henry Judd Baker,7,1
Nikolai Pastukhov,38,1
Jill Whelan,43,1
Sharisse Baker-Bernard,26,1
Sharon Kinney,32,1
Charles Cooper,11,1
Courtney Gains,16,1
Leslie Bibb,3,1
Joe Alaskey,15,1
Ron Faber,8,1
Bill Butler,13,1
Devon Sawa,2,1
José María Caffarel,24,1
Martin Lamotte,9,1
Howard Feuer,44,1
Edward Faulkner,14,1
Robin Lord Taylor,58,1
Harry Semels,93,1
Denis Arndt,13,1
Jaki Brown-Karman,77,1
Dick Spangler,14,1
Albert Remy,46,1
Drena De Niro,20,1
Giuliana Lojodice,8,1
Bob Sessions,53,1
Michèle Laroque,4,1
Catherine McCormack,6,1
Bruce Mitchell,110,1
Johnny L. Watkins,36,1
Mark Hadlow,3,1
Carol Lewis,19,1
David Dwyer,34,1
John Paul Jones,23,1
Pauline Melville,22,1
Harold Perrineau,91,1
Moti Makan,20,1
Nikolaj Coster-Waldau,9,1
Carl Craig,44,1
Linda Peterson,35,1
Eduardo Fajardo,1,1
Arly Jover,2,1
Barry Ford,10,1
Pat Combs,48,1
Richard Honigman,46,1
Lee Ingleby,11,1
Sharon Madden,44,1
Jeannine Bisignano,12,1
Paul Gleeson,10,1
Marc Wilder,20,1
Karl Lieffen,7,1
Booth Colman,12,1
John Lyons,51,1
Karina Andrews,12,1
Mark Schubb,26,1
Joe Unger,27,1
Zach Galifianakis,16,1
Mik Scriba,33,1
Mildred Coles,39,1
Mike Kellin,7,1
David Ward,44,1
Sam Wilkinson,21,1
Joseph A. Ross Jr.,31,1
Robert Small,8,1
Claudia Robinson,26,1
The Dream Boys,24,1
Joshua Mbakwe,70,1
Michael Kidd,7,1
Miriama Smith,4,1
Jenny Nichols,12,1
Jason Marsden,18,1
John Bromfield,9,1
Frankie Vaughan,4,1
Henry Ho,34,1
Michael McCleery,15,1
Michael Gough,28,1
Nada Konvalinková,25,1
Xin Xin Xiong,8,1
Buzz Aldrin,7,1
Brian O'Shaughnessy,10,1
Kim Katugi Noda,20,1
Louis Mosconi,14,1
Bob Smith,1,1
Roberts Blossom,8,1
Brian Cummings,13,1
Jamie Denton,6,1
Frank Faylen,6,1
Tenzin Topjar,14,1
Dian Kobayashi,54,1
Ted Lewis,10,1
Sharon Cook,4,1
Tom Elliott,25,1
Cornelia Kiss,27,1
Curt Ayers,10,1
Roger Lumont,41,1
Ron Killings,49,1
Patrick Malone,32,1
Benji Schulman,34,1
Karma Chhewang,10,1
Jerrilyn Miller,29,1
Matt Holwick,12,1
Prentiss Rowe,35,1
Rob Stefaniuk,11,1
Erin Underwood,10,1
Lloyd Williams,18,1
Roef Ragas,14,1
Michael Pniewski,20,1
Brian Delate,3,1
Gloria Crist,29,1
Michael Ironside,27,1
Johnny Sekka,7,1
Mel Winkler,13,1
Keith Gordon,4,1
Ted Noose,20,1
John Britten,100,1
Frank Casado,32,1
Adel C. Hammond,15,1
Gail Barle,44,1
Darcy de Moss,10,1
Maggie Hickey,14,1
Roger Christiansen,21,1
Frederick Koehler,3,1
Red Buttons,13,1
Roger Bowen,17,1
Elizabeth Hubbard,13,1
Dennis Hopper,33,1
John Cassidy,15,1
Maria Lundquist,2,1
Kenneth Belsky,42,1
Albert Salmi,6,1
Ted McGinley,7,1
Hermono de Guzman,13,1
Matthew Harbour,6,1
Ralph Cotterill,5,1
Peter Firth,1,1
Robbie Robertson,3,1
Carlo Dale,24,1
Del Zamora,34,1
Karen Wooldridge,13,1
Henri Marteau,6,1
Tina Shaw,19,1
John Randolph,8,1
Michael Shillo,25,1
Roy Dotrice,1,1
Holly Mandel,36,1
Belinda Bauer,6,1
Daniel Davies,18,1
Feodor Chaliapin Jr.,3,1
John Vidor,31,1
Sam Stoneburner,24,1
Stuart Charno,5,1
Kate Valk,1,1
George Sawava,30,1
Paul Bates,26,1
Tony Dean Fields,11,1
Emma Roberts,22,1
Franklin Dam,20,1
Victoria Jean,20,1
Kate Reid,9,1
Walter O. Miles,34,1
Marilyn Boyle,27,1
Julie Strain,34,1
Jan-Michael Vincent,22,1
Mia Maestro,17,1
Deon Nuku,58,1
Jim Siedow,4,1
Kay Cole,21,1
Micole Mercurio,30,1
Miguel Guilherme,14,1
Gladys Henson,8,1
Jack Hedley,7,1
Milton Seaman,34,1
Alexander Zale,32,1
Diane Perella,21,1
Laura Mooney,6,1
Gary Tacon,49,1
Manny Olmo,40,1
Brian Backer,10,1
Adam Seils,24,1
Gloria Charles,11,1
Joe Dante,32,1
Robert Jewett,7,1
Frank Yaconelli,43,1
Adam Black,20,1
Gloria Dehaven,11,1
Michael Edmonds,19,1
Harold J. Stone,8,1
Harry Bartron,29,1
Mike Norris,1,1
Ruth Gordon,4,1
Kerri Green,2,1
Troy Evans,28,1
Jillian Sandler,58,1
Ann Jillian,7,1
Ed Grady,17,1
David Thornton,5,1
Derek Neal,11,1
Mike Huff,10,1
Peter Billingsley,18,1
Phineas Newborn III,6,1
Wade Barnes,44,1
Leslie Hope,3,1
Regina Orioli,6,1
Alexei Jawdokimov,14,1
Brandon Kaplan,9,1
Anthony Steel,11,1
Raul Gimenez,33,1
Henry Daniels Jr.,23,1
Stephanie Montalvo,36,1
Cindy Beal,16,1
Jim Flaherty,20,1
Chet Stratton,33,1
Todd Hoffman,11,1
August Krinke,36,1
Howard Culver,13,1
Mark Mangini,17,1
Tressi Loria,13,1
Bridgette Wilson,14,1
Luis Guzman,1,1
Kevin Conway,12,1
Rene Medvesek,5,1
David Dixon,5,1
Lisa Hogan,47,1
Amber Lynn,19,1
Joanne Newborn,47,1
Hugh Bonneville,4,1
Robert Karnes,29,1
Skip Hamra,39,1
Merwin Mondesir,20,1
Randall Batinkoff,2,1
Eddie Braun,23,1
Robert Arthur,40,1
"George ""Red"" Schwartz",45,1
Lori Babb,10,1
Nancy Gates,16,1
Herta Ware,25,1
Becky Ann Baker,15,1
Robert Craighead,17,1
Florenz Ames,6,1
Marion Pressburger,28,1
John Watson,35,1
Cinzia Bruno,9,1
Edna Skinner,15,1
Gary Combs,23,1
Niketa Calame,35,1
Arthur Mercante,10,1
Hatsumi Yoshida,44,1
Josef Sommer,3,1
CCH Pounder,26,1
David McKnight,30,1
Daphne Moore,38,1
Irving Metzman,34,1
Ava Cadell,1,1
Mardik Martin,26,1
Dean Tarrolly,35,1
John Ward,9,1
Phil Rubenstein,5,1
Carmen Scarpitta,23,1
Rick Valenzuela,9,1
Donald Douglas,21,1
Janis Benson,7,1
Julie Bovasso,9,1
Wallace Langham,25,1
Ludger Pistor,10,1
Jennifer Dundas Lowe,10,1
Clint Walker,12,1
Starr Andreeff,9,1
Garcelle Beauvais,9,1
Yvonne Claudie,10,1
Heather Hiscox,21,1
Leslie Phillips,21,1
Orlando Brown,11,1
Ursaline Bryant-King,6,1
Lawrence Kamikawaji,43,1
Liam Staic,57,1
Carrie Aizley,18,1
Robert Gus Blue,32,1
Jack Thibeau,23,1
Art Garfunkel,2,1
Yôji Matsuda,1,1
William Allen Young,8,1
Jason Christopher,36,1
Joey Simmrin,11,1
Baby Ashley,12,1
Elizabeth Lawrence,15,1
Bess Flowers,10,1
Lar Park Lincoln,5,1
Ernestine Mercer,9,1
Annie Holliday,15,1
Patrice Melennec,22,1
Mike Hayley,23,1
Thandie Newton,1,1
Kurt Rauf,13,1
Shawn Elliott,5,1
Richard Vernon,14,1
Robinne Lee,6,1
Donna Wilson,8,1
Monica Bellucci,8,1
Thora Hird,10,1
Sara Tafuri,13,1
Andrea Renzi,4,1
Mark Lingwood,36,1
Bernardo Marquez,38,1
David Fahm,32,1
Cindy Morgan,4,1
Frankie,10,1
Harry Barris,27,1
Joseph Calleia,4,1
Olivia d'Abo,11,1
Frances Davis,9,1
Henry Ravelo,34,1
Burgess Jenkins,12,1
Takashi Miyake,73,1
Chip Mayer,11,1
Patrick Campbell,17,1
Christopher McDonald,19,1
Laura Tulaska,39,1
Csilla Horvath,40,1
Melora Walters,15,1
Cheryl Carter,21,1
Neville Smith,32,1
Toshishiro Obata,26,1
E.P. King,34,1
Linda Basssett,11,1
Barry Chambers,35,1
Paolo Stoppa,4,1
Suksanti Cherpat,46,1
Stacey Moseley,123,1
Elena Smirnowa,19,1
Michael Rhoades,4,1
Dave Attell,6,1
Alexis Arquette,6,1
Poll Moussilides,70,1
Brett Porter,18,1
George Tovey,19,1
Marta Kristen,18,1
Largo Woodruff,47,1
Jesper Inglis,62,1
Halina Labonarska,56,1
Jona Jones,11,1
John Truax,47,1
Tawny Moyer,23,1
Cosimo Cinieri,14,1
Joseph Morano,21,1
Norma Drury,22,1
Dee Carroll,45,1
Jimmy Shaw,13,1
Missi Pyle,8,1
Joe Drago,16,1
Philip Lenkowsky,31,1
Carole Bouquet,4,1
Dale Van Sickel,20,1
Kevin Bacon,15,1
Lily Tomlin,50,1
Jean-François Perrier,8,1
Veronica Gambini,34,1
Marc Lawrence I,42,1
Miho Tanaka,106,1
John Blood,17,1
Michael Feast,7,1
Reinhold Schünzel,37,1
Tangi Miller,1,1
Russell Kiefel,7,1
Leslie Barrie,18,1
Honor Blackman,43,1
Jeffrey Josephson,22,1
Jack Denbo,12,1
Jihmi Kennedy,20,1
Alvin Riley III,16,1
Sung-kee Ahn,1,1
Philip Granger,34,1
George Field,4,1
Iake Eissinmann,23,1
Hadda Brooks,12,1
Anthony Boswell,6,1
Dean Norris,8,1
Rob Estes,10,1
Eric Cubano,26,1
Dan Resin,9,1
Dennis Holahan,17,1
Barbara Valentine,9,1
Jim Desmond,30,1
Jack McDermott,17,1
Henry Hewitt,1,1
Carlin Glynn,17,1
Ben Slack,28,1
Andrew Benavides,62,1
Hazel Boyne,19,1
Jennifer Howell,10,1
Feodor Atkine,1,1
Harry Jones,48,1
Anjelika Khromova,23,1
David Elliott,21,1
Arnold Turner,25,1
Honey Edwards,16,1
Michael Callahan Jr.,38,1
Louis Guss,6,1
Anne-Marie Coffinet,15,1
Harve Presnell,12,1
Alfredo Alvarez Calderon,12,1
Laurence Fishburne,32,1
Phil Leeds,1,1
Allan Graf,62,1
John Rees,23,1
Sammee Tong,23,1
Ronnie Alicino,10,1
Cliff Einstein,13,1
Michel Sundin,25,1
Olan Soule,23,1
Ned Wynn,32,1
Ishamel Boikanyo,8,1
Caroll Spinney,37,1
Abigail Van Alyn,33,1
Michèle Morgan,15,1
Ron Soble,27,1
Jack Haddock,11,1
Aku Kadogo,31,1
Joey Perillo,11,1
Sue Boyd,17,1
Alfie Scopp,30,1
David Addison,23,1
Danielle Spencer,30,1
Kathleen Freeman,13,1
Sandra Dickinson,12,1
Thomas Craig,9,1
Thomas Hunter,19,1
George Curzon,18,1
Jerry Maren,34,1
Tuesday Weld,50,1
Karron Graves,8,1
Bruno Majean,52,1
H. Gordon Boos,22,1
Yola d'Avril,17,1
Daran Norris,13,1
William Kerwin,4,1
Leslie Parrish,6,1
Dick Rude,32,1
Dan Barrett,5,1
Kliment Denchev,14,1
Helen Funai,25,1
Jessica Fox,3,1
Anita Bolster,8,1
Kathleen Quinlan,21,1
Telly Savalas,1,1
John Alexander,15,1
Lee E. Cox,70,1
J. Jay Saunders,20,1
Chris Liano,9,1
Shane Meier,9,1
Kevin McNulty,21,1
Martin Casella,11,1
Massimo Marraccini,24,1
Louis King,108,1
Jeff Daniels,7,1
Pamela Hart,7,1
David Roach,32,1
